article_id,infraction_desc,amende_fixe,amende_min,amende_max,points_retrait,emprisonnement,categorie_vehicule,categorie_permis,chapitre,role_paragraphe,type_infraction,niveau_gravite,localisation,suspension_permis,concerne_pieton,recidive,mots_cles
1,"ال يجوز الي شخص ان يسوق مركبه ذات محرك او مجموعه مركبات علي الطريق العموميه 
ما لم يكن حاصال علي رخصه للسياقه ساريه الصالحيه ومسلمه من قبل االداره  تناسب صنف 
المركبه او مجموعه المركبات التي يسوقها",,,,,,,,,definition,non_classifié,non_défini,route_nationale,non,non,non,
2,"استثناء من احكام الماده االولي اعاله :
 - يجوز للمغاربه القاطنين بالخارج ان يسوقوا  داخل التراب الوطني  خالل مده اقصاها 1
 سنه واحده ابتداء من اقامتهم باملغرب  بواسطه رخصه السياقه املسلمه لهم بالخارج ساريه
الصالحيه   
 - يجوز للسايقين من جنسيه اجنبيه  ان يسوقوا بواسطه رخصه السياقه املسلمه لهم بالخار",,,,,,,,,obligation,"dépassement, défaut_de_permis",non_défini,,non,non,non,"depassement, permis"
5,من 13  بتاريخ 1,,,,,,"moto, quad, vehicule_agricole, vehicule_forestier","B, A, D, AM, C, A1",الباب الثاني,definition,"dépassement, défaut_de_permis, conduite_en_état_d_ivresse",non_défini,route_nationale,non,non,non,"alcool, depassement, permis"
8,من 13  بتاريخ 1,,,,,,moto,"B, A, D, AM, C, A1",,definition,défaut_de_permis,non_défini,,non,non,non,permis
9,"يجب االدالء برخصه السياقه او بالوثيقه التي تحل محلها الي االعوان املكلفين بمراقبه تطبيق 
احكام هذا القانون والنصوص الصادره لتطبيقه  كلما طلبوا ذلك",,,,,,,,الباب الثالث,obligation,défaut_de_permis,non_défini,,non,non,non,permis
10,من 13  بتاريخ 1,,,,,,,AM,,definition,défaut_de_permis,non_défini,route_nationale,non,non,non,permis
11,من 13  بتاريخ 1,,,,,,,"B, A, D, AM, C, A1",,definition,défaut_de_permis,non_défini,,non,non,non,permis
12,"يخضع وجوبا كل مترشح الختبارات امتحان الحصول علي رخصه السياقه لفحص طبي مسبق  
الغايه منه التاكد من ان قدراته البدنيه والعقليه تمكنه من سياقه مركبه علي الطريق العموميه دون 
خطر وخاصه التاكد من انه غير مصاب باحد االمراض التي تمنع السياقه واملحدده قايمتها من قبل 
االداره بعد استشاره املجلس الوطني لهييه ",,,,,,,,,definition,défaut_de_permis,non_défini,route_nationale,non,non,non,permis
13,"اذا كان املترشح الختبارات امتحان الحصول علي رخصه السياقه مصابا بعجز بدني ال يتنافي مع 
سياقه المركبات ذات محرك  امكن تعويض هذا العجز بتهييه خاصه للمركبه او بواسطه حمل 
وباستعمال اجهزه طبيه او هما معا  من قبل السايق تبعا لتعليمات الطبيب الذي اجري الفحص الطبي",,,,,,,,,obligation,défaut_de_permis,non_défini,,non,non,non,permis
14,بتاريخ 1,,,,,,,"C, D, B",,obligation,"dépassement, défaut_de_permis",non_défini,,non,non,non,"depassement, permis"
